Time,Gyro Meas X,Gyro Meas Y,Gyro Meas Z,Acc Meas X,Acc Meas Y,Acc Meas Z
2.48,-0.04386,-0.01977,-0.02620,-0.00391,0.00187,1.00077
2.50,-0.07440,-0.05031,-0.14070,-0.00001,-0.00081,0.99662
2.52,0.15461,0.06420,-0.11017,0.00048,-0.00374,1.00003
2.54,-0.10493,-0.11137,0.06540,-0.00025,-0.00179,0.99881
2.56,0.07064,0.00313,0.03487,-0.00049,0.00114,0.99930
2.58,0.16988,0.10237,-0.11780,-0.00001,-0.00154,1.00052
2.60,0.04011,0.03366,0.02724,0.00463,-0.00301,0.99393
2.62,-0.06677,-0.05794,-0.01093,-0.00123,0.00383,0.99930
2.64,-0.00570,0.05657,0.09594,0.00366,-0.00057,1.00687
2.66,0.09354,0.18634,0.06540,0.00122,-0.00106,0.99832
2.68,0.00957,0.07947,0.08831,-0.00391,-0.00032,0.99857
2.70,0.02484,-0.15718,0.02724,-0.00001,-0.00301,0.99613
2.72,-0.12783,0.02603,0.05777,-0.00049,-0.00252,0.99930
2.74,-0.04386,-0.02740,0.10357,-0.00196,-0.00130,0.99832
2.76,-0.04386,-0.09611,-0.01093,-0.00269,0.00309,0.99710
2.78,0.10117,0.09473,-0.04147,-0.00049,0.00309,0.99930
2.80,-0.15073,-0.08084,-0.07963,-0.00464,0.00187,0.99662
2.82,0.11644,0.03366,-0.02620,0.00146,0.00016,0.99930
2.84,0.00957,0.06420,0.02724,-0.00196,0.00309,0.99491
2.86,0.14698,-0.05031,-0.07963,0.00244,0.00090,0.99710
2.88,0.00194,0.08710,0.09594,0.00170,0.00016,0.99979
2.90,-0.08203,0.18634,-0.04910,-0.00196,0.00212,1.00174
2.92,-0.10493,0.04893,-0.15597,-0.00049,-0.00228,1.00052
2.94,-0.11257,-0.03504,-0.16360,0.00024,0.00285,0.99759
2.96,-0.20417,-0.08847,-0.06437,-0.00171,0.00163,0.99832
2.98,-0.16600,0.14817,-0.13307,0.00146,0.00456,1.00345
3.00,0.07827,0.01840,0.00434,-0.00196,-0.00008,1.00394
3.02,0.12407,0.01840,-0.02620,-0.00538,-0.00106,1.00394
3.04,0.01720,-0.04267,-0.01093,0.00048,0.00065,1.00052
3.06,0.02484,0.08710,-0.04147,-0.00269,0.00016,1.00443
3.08,0.05537,0.06420,0.04250,-0.00416,-0.00032,1.00077
3.10,-0.06677,-0.09611,-0.01093,0.00317,-0.00032,1.00565
3.12,0.10117,0.00313,0.01197,0.00341,0.00334,1.00077
3.14,-0.27287,0.00313,-0.09490,-0.00025,0.00187,1.00052
3.16,-0.02096,-0.03504,-0.11017,-0.00025,0.00163,0.99710
3.18,0.07827,-0.13427,-0.04910,-0.00367,0.00065,0.99857
