Time,Gyro Meas X,Gyro Meas Y,Gyro Meas Z,Acc Meas X,Acc Meas Y,Acc Meas Z
3.02,-2.47328,2.31298,0.22137,0.07324,0.00195,1.03052
3.04,-2.55725,2.35115,0.19084,0.07080,0.00171,1.03125
3.06,-2.67176,2.35115,0.23664,0.07227,0.00220,1.03516
3.08,-2.66412,2.37405,0.16794,0.06860,-0.00220,1.02588
3.10,-2.48855,2.35115,0.21374,0.07471,-0.00195,1.03076
3.12,-2.57252,2.41221,0.15267,0.06519,0.00293,1.03125
3.14,-2.56489,2.22901,0.35115,0.07251,0.00195,1.03125
3.16,-2.51145,2.29771,0.12214,0.06982,0.00391,1.03076
3.18,-2.58015,2.32061,0.03053,0.06982,-0.00122,1.03394
3.20,-2.67939,2.26718,-0.06107,0.07104,0.00073,1.03027
3.22,-2.42748,2.20611,0.05344,0.06982,-0.00073,1.03125
3.24,-2.49618,2.26718,0.00000,0.06934,-0.00073,1.03467
